,影片名,评论内容,评论人,推荐星数,有用数
0,那年八岁,"一部中国式朴素风格的电影，没华丽的背景，没有酷炫的特效，质朴自然的气息深情灵动。 故事以一个算命的盲人吴老先生和一个八岁的小孩小小为主线，小小是一个从小失去父母无依无靠的八岁孩子，本该天真烂漫的童年却失去了欢乐，他们在人生的十字路口相遇，从互相疏离到彼此相互...

                        ?(展开)",莲蝶,推荐,32
1,那年八岁,"文 / 哪吒男 2012年他向岳父求救借债20万元，再加上一些奖金，拼拼凑凑用五六十万拍了一部关于自己的电影，讲述儿时的小伙伴，那个夏天他们是相依为命的小伙伴，整个世界最要好的人“好到要死”。后来他甚至忘记了那个小伙伴的名字，也再没有相遇过，电影最后两个小伙伴在路口...

                        ?(展开)",不散,还行,11
2,那年八岁,"这篇影评可能有剧透

                        其中的一个细节。瞎子吴先生帮人算命，那家人的儿子在部队当兵。虽然电影里没有透露具体的年份，但从后来的对话里有“就要大锅饭”的字眼，那应该在1958年以前。儿子属龙(1928年出生)，瞎子一算说他今年25岁，按照中国农村传统的习惯，都是报虚岁，那这就是1952，1953年的故事...

                        ?(展开)",一二三四卌,还行,6
3,那年八岁,"法国有《蝴蝶》，日本有《菊次郎的夏天》，老人与男孩的故事总是让人投射到“爷孙情”上来。《千里走单骑》也插了一段这样的故事。但也许是中国男人情感比较内敛，“奶奶与孙女/姥姥与外孙女”、“爷爷与孙女/姥爷与外孙女”的电影受众会更多，像《我们俩》、《我们天上见》，...

                        ?(展开)",游侠一笑,还行,4
4,那年八岁,"这篇影评可能有剧透

                        今晚打开电视，正好电影频道在放《那年八岁》，看到主角小男孩小小偷兔子被揍，然后就一直跟着个算命老头过活。没看到电影开头，猜是约么男孩的爹不要他了，然后算命老头就领着养了。男孩的亲娘应该是在意外中去世了，看男孩做梦回忆妈妈，然后房子塌了，妈妈没跑出来。男孩妈...

                        ?(展开)",daisyy,力荐,9
5,那年八岁,"这篇影评可能有剧透

                        《那年八岁》作为2017年浙江青年电影节唯一一部儿童电影，如一股清流流入西溪，呈现出与众不同的纯净气质。自四年前的《有人赞美聪慧，有人则不》后，杨瑾导演深埋孩童世界，挖掘儿童生活的日常生活，做自我影像天地中的孩子王。 与电影节许多独具实验性的片单相比，作为电视电...

                        ?(展开)",武侠小王子,还行,1
6,那年八岁,"这篇影评可能有剧透

                        欢迎移步至我写的北影青年四部曲中的其他几篇感想 北影儿童电影四部曲之一《旺扎的雨靴》https://movie.douban.com/review/9278799/ 北影儿童电影四部曲之二《那年八岁》https://movie.douban.com/review/9340777/ 北影儿童电影四部曲之三《西小河的夏天》https://movie.douban...

                        ?(展开)",社稷师,力荐,
7,那年八岁,"这篇影评可能有剧透

                        导演水平和剧作水平都维持在3分的诚意之作。 八岁的小小被父亲和后妈送去给算命的盲人吴先生指路，建立了如同“爷孙”般的情感，被吴先生送回学校。 影片可以说除了诚意，就没有什么别的优点了。 表达的原则上挺陈词滥调的，故事背景在旧时代，一个是被偏心后妈送去赚钱的孩子...

                        ?(展开)",职业影迷,还行,
8,那年八岁,"这篇影评可能有剧透

                        很多时候，我们把豆瓣评分作为评判电影好坏的标准之一。 仅凭一家之言就对电影打上标签，结果肯定不全面。 就比如《水形物语》吧，今年奥斯卡最佳影片，豆瓣评分7.4。 再比如《战狼2》，上映后掀起一股爱国热，内地总票房冠军，豆瓣评分也只有7.2。 这两部可都是良心制作！ 一...

                        ?(展开)",on the way,力荐,
9,那年八岁,"这篇影评可能有剧透

                        看了那年八岁，被这个朴实无华，平实简单的故事打动。 一直很喜欢农村题材的影视剧和小说，可能是因为自己小时候在农村长大吧。原野，老人，村落，一幕幕出现在眼前，我的心仿佛也在温柔的舒展。就像剧中屏蔽了黄土高原灰尘漫天，干涸少水，植被稀疏的贫瘠，而是诗意的赋予它清...

                        ?(展开)",小沁子V5,力荐,1
