,影片名,评论内容,评论人,推荐星数,有用数
0,青年马克思,"这篇影评可能有剧透

                        简单来说，这就是一部简单的向历史人物致敬的传记电影——简单的内容、简单的人物、简单的话语……但其表达的“东西”却一点也不简单。  当然，以上以下，仅仅是个人的一点点思考。  1.不简单的时间点 该电影的出场时间：2017年2月——这一时间点有两个万分关键的痕迹：1917年...

                        ?(展开)",逍遥君,力荐,111
1,青年马克思,"开头通过德国捡柴农民被地主打死，报纸记者被普鲁士政府逮捕，纺织工被英国资本家压榨虐待，开头这三个情节回答了为什么马克思恩格斯包括燕妮这豪门大小姐都“要诅咒这个旧世界”。 情节主要是文戏，场面不算很大。和资产阶级走狗的斗争相对冲击力小，马克思和莱茵报时期的同事...

                        ?(展开)",朝暮逢岁晚,还行,67
2,青年马克思,"这篇影评可能有剧透

                        这部电影我以为可以分成三个部分。 首先是马克思恩格斯的各自经历与相互友谊的建立：借恩格斯的周遭反映出当时工人的悲惨处境；通过马克思的生活、社交——《莱茵报》、《德法年鉴》、蒲鲁东和燕妮，一是将思想家马克思人格立体化，一是显出当时社会主义运动背后理论的空虚。 ...

                        ?(展开)",Skylar,推荐,26
3,青年马克思,"这篇影评可能有剧透

                        《青年马克思》讲述了1844年，年轻的马克思在巴黎与恩格斯相识，因共同的理想信念走到一起，合作撰写《共产党宣言》的故事。影片不仅演绎了马克思的青年时期的生活，还有马克思与恩格斯的革命情谊以及马克思与燕妮的爱情都十分吸引人。这部影片通俗地为我们讲述了马克思的哲学...

                        ?(展开)",如鱼得水,还行,49
4,青年马克思,"伟大思想和理念集中爆发的十九到二十世纪中的一个重要的瞬间。将马克思等人还原到与一般的青年人并肩的视线上讲述，这很聪明。马克思最终还是以解释社会发展运行规律为主而非直接参与改造，这很重要。马克思主义哲学思想，上层结构以外的生存指引，你值得拥有。  情节上来看有...

                        ?(展开)",往事不要再提,推荐,37
5,青年马克思,"看了电影了解共产主义理想的产生，欣赏了导师的智慧，马克思的成功离不开他的女人和战友，耐人回味的是，这个电影肯定不是当下的热门高票房影片，即使说马克思主义在中国拥有如此高的地位，但是却很少有人会关注马克思的故事，这个现象对比和反差就挺值得思考的。一对挚友见面...

                        ?(展开)",花吖,还行,38
6,青年马克思,"这篇影评可能有剧透

                        影片对国家间矛盾描写基本没有，阶级矛盾浓墨重彩明着写，宗教矛盾几次出现。具体是蒲鲁东的质问“你们要弄出一个比新教更加不宽容的东西”，和雇佣童工的资本家嘲笑马克思的犹太人出身时老马僵硬表情。 相当适合年轻人观看 该怎么处理一个男人对家庭对社会的责任，面对嗷嗷待...

                        ?(展开)",特仑苏,力荐,34
7,青年马克思,"这篇影评可能有剧透

                        影片《青年马克思》讲述了年轻的马克思1844年在巴黎与恩格斯相识相知，因共同的理想信念，致力于彻底改变当时的世界。后来，两人受托起草“正义者同盟”规章，改组建立共产主义者同盟，合作撰写《共产党宣言》的伟大历程。影片拍的很平淡，像个纪录片一样把马克思和恩格斯的伟...

                        ?(展开)",敏莉Lily,还行,27
8,青年马克思,"不知道最后放的纪录片什么意思，是为了平衡一下吗？ 不过其他部分还是不错的。 我是不懂电影，单纯以马克思主义者的观点说一下。 早期的马克思是一个哲人，自由主义者和人道主义者。但是当马克思转向政治经济学批判时，我们知道，一切问题的焦点都在所有制结构和生产关系。电影...

                        ?(展开)",SCHOLAE,推荐,25
9,青年马克思,"非常好的一部影片，非常生动地演绎了马克思的青年时期的生活，马克思与恩格斯的革命情谊以及马克思与燕妮的爱情都十分吸引人。这部影片通俗地为我们讲述了马克思的哲学思想，这正是我们青年人今后应该努力学习的。在一个如此狭小的时空中将马克思、恩格斯的友情、合作，以及一...

                        ?(展开)",樱花少女,推荐,39
10,青年马克思,"青年时期的马克思，在理论研究和社会实践中体悟到：所谓“最能为人类而工作的职业”，就是为工人阶级和劳动群众的解放而奋斗。从此以后，他就始终如一地朝着这个目标前进。《马克思恩格斯思想史》的“前言”这样说到“在人类历史上，曾经出现过各种各样的思想学派和理论体系，...

                        ?(展开)",明天,力荐,38
11,青年马克思,"就《青年马克思》这部影片来说，马克思、恩格斯、燕妮等主要角色的性格都十分鲜明，片中充满大量的专有名词的台词，以及政治观点碰撞的对白。 此外，《青年马克思》这部电影本身，也是具有一定水准、值得大家观看的一部影片。主要讲述了马克思和恩格斯的友情，以及马克思主义的...

                        ?(展开)",蝶衣,还行,32
12,青年马克思,"这篇影评可能有剧透

                        《青年马克思》很平淡如流水账般，就是一部简单的叙事片。记录1848年《共产党宣言》发表之前的马克思恩格斯的奋斗故事。如果你是抱着学习的心态看，追随马克思的脚步，了解他如何伟大，了解是什么驱动他完成《资本论》第一卷中关于资本主义的精确分析，是很有教育意义的。但如...

                        ?(展开)",吉静,还行,26
13,青年马克思,"编按：《青年马克思》的公映引起了不少关注。更重要的是，今天作为青年的我们，向不再青年的马克思，学习什么。 《青年马克思》值得一看，如果不是电影票贵得连马克思自己也买不起的话。 导演拉乌尔·佩克是海地人，一个在第三世界国家出生，在欧洲成长，经历颇为丰富的导演，...

                        ?(展开)",土逗公社,推荐,14
14,青年马克思,"百年大潮，风起云涌，唯有真理与人格的力量超越时空，始终闪耀在人类历史的天空。 “真理的味道非常甜”，陈望道翻译《共产党宣言》时，因过分专注，误把墨汁当成红糖吃下去的故事家喻户晓；“除了崇拜真理，他不知道还要崇拜别的”，马克思和恩格斯对信仰的不懈追求世人皆知。...

                        ?(展开)",注销,推荐,6
15,青年马克思,"《青年的马克思》从一群资本家追打在森林里捡木材的人们开始（法令规定不可在森林捡木材，木材归资本家所有），再通过机器生产展示工业革命的状况，通过恩格斯父亲的工厂展示资产阶级剥削的本质，再把画面移到马克思在《莱茵报》任编辑的时候，发了很多针砭时弊的文章，影响到...

                        ?(展开)",长歌行,推荐,19
16,青年马克思,"影片从马克思恩格斯在巴黎的相遇开始讲起，到共产主义者同盟的成立和共产党宣言的写作。作为一部传记电影，没有、也不可能有跌宕起伏的情节，关键是如何于枯燥窘迫的生活中表现人物澎湃高亢热血沸腾的内心。二人初相识，犹如故人归，简短的谈话如破冰之刃打破原先对对方的偏见...

                        ?(展开)",Meditation,推荐,5
17,青年马克思,"《馬克思:時代青年》(又名《年輕的卡爾馬克思》)，是講述年輕時期的馬克思，面對19世紀中，整個歐洲因為工業革命，產生的社會動亂，以及階級差距等經濟及社會現象，到撰寫《共產主義宣言》的過程。 整部電影拍的非常混亂，沒有章法，而且敘事手法非常枯燥，不會因為看了這部電...

                        ?(展开)",anne 小兔子?,还行,5
18,青年马克思,"2018年1月份，我22岁，大四即将毕业，我在一间温暖的房间里，在温暖的冬日阳光的沐浴下，读马克思恩格斯选集。今天，看到费尔巴哈、蒲鲁东、巴枯宁、鲍威尔、青年黑格尔派、马克思、恩格斯、《英国工人阶级状况》、《神圣家族》、《1844年经济学哲学手稿》、《哲学的贫困》等等...

                        ?(展开)",Cosette,推荐,1
19,青年马克思,"《年轻的卡尔·马克思》思想家的诞生 看到有这部电影，毫不犹豫就找来看。因为，对于马克思有的不仅是敬仰，虽然也看过一些短篇传记，但是一直就期待着通过电影来了解马克思。 电影巧妙地截取了马克思的年轻岁月，在欧洲无产阶级革命中所做的事，尤其是写出《共产党宣言》的经...

                        ?(展开)",suejet,推荐,4
20,青年马克思,"这篇影评可能有剧透

                        在你们都去看《后来的我们》时，第一周我看了《幕后玩家》(确实这部剧本是真残)，第二周在马克思诞辰200周年的时候我选择了《青年马克思》，由于我历史政治很不好，所以没法说什么特别nb的评论性内容。 首先这部电影的主题很明确，不是表达工人运动，而是阐述《共产党宣言》的...

                        ?(展开)",发条辰,推荐,4
21,青年马克思,"这篇影评可能有剧透

                        感觉是西马拍的电影………………………… 因为最后的那个历史剪影片段中没有列宁、斯大林和毛泽东，以及中苏两国人民为了革命付出的巨大努力，唯一出现在这个剪影中的只有赫鲁晓夫和那个的冷战末期…… 而且……电影中斗争性不足，感觉资产阶级和工人阶级在本电影里是虚化的，...

                        ?(展开)",好好吃肉！,还行,8
22,青年马克思,"5分，拍的还是可以的，片头就点题马克思思想产生的年代背景，那时候的资本主义社会本来也是问题多多----不能把后面发展的锅都让马克思一个人背，至于很多人说拍的畏首畏尾-----这，如果要把马克思传拍的荡气回肠，那需要顾虑太多方面了，毕竟现在世界马克思主义最终发展成了傀...

                        ?(展开)",沙漠中的西蒙,还行,1
23,青年马克思,"小的时候看过一本记忆术，上面写着1818年5月5日，没错，马克思一巴掌一巴掌把资本家抽得呜呜大叫。我一直记得。这个世界总要有人去做救世基督，总要有人去做利他主义者，总要有人去扛起红色的十字架，人性本恶这是我们的原罪，正是人间的罪恶才促使善的开花结果。 我们现在所拥...

                        ?(展开)",redefine,力荐,12
24,青年马克思,"看的时候觉得比想象中好 不过睡前回过味儿来 真是用心险恶的电影 全片突出的作为马克思与其他革命者本质区别的阶级斗争纲领只以口号对话辩论理论来表现 除了那次“谈判” 没有任何表现阶级矛盾的情节 对这种矛盾的理解也停留在压迫层面（尤其是跟资本家关于童工的争锋）似乎我...

                        ?(展开)",乱眉先生,还行,
25,青年马克思,"这篇影评可能有剧透

                        首先就选材来说，影片所反映的此段马克思寻求突破资本主义剥削出路最后完成共产宣言的历史及其后续对社会主义国家产生的巨大价值和意义是不可质疑的。尽管在我们现在和平的时代，大家并不是那么强调阶级斗争这个概念，但毫无疑问的是，马克思所提出的一系列哲学性革命观点在当...

                        ?(展开)",老塔师哥,还行,
26,青年马克思,"学校组织在百讲观影，毫不犹豫地报名参加，必须要发挥党员先锋模范作用嘛。 《青年马克思》如影片名一样，讲述的是马克思青年时代的故事，主要是《共产党宣言》发表前几年的故事，包括马克思与燕妮的爱情，马克思与恩格斯的友谊，马克思与其他共产主义者的思想分歧。 作为历史...

                        ?(展开)",Jerry,还行,
27,青年马克思,"《青年马克思》给我最大的触动是真实，就是可以角色代入，你会发现即使170年过去了，生活在现代化社会的大多数青年人的际遇都没有太多改变。青年人精力充沛，喝酒、熬夜、爱情是永恒的主题。青年人追求思想、不满现状、喜欢辩论也是常有的事情。毕业了，找什么工作？结婚了，没...

                        ?(展开)",爱吃奶油的松,推荐,
28,青年马克思,"如预料的那样，《青年马克思》成了我的包场电影。一个人坐在偌大的放映厅里，我忍不住联想：假如这是一部由流量明星担纲的电影，或者是讲述流量明星故事的电影，此刻电影院里会喧腾成什么样子？ 也许有人会说，这是一部主角有点老的电影。那倒也是，卡尔·马克思，生于1818年，...

                        ?(展开)",吴玫,推荐,1
29,青年马克思,"这篇影评可能有剧透

                        其实从小就生长在社会主义国家，毛概马哲，这些学校都学过的东西，现在让我说说什么是社会主义可能我都不能准确的说出来。马克思，说真的大家可能都知道，但真正有去了解的人却不会很多。我曾经尝试去读了一下资本论，但真的不到四十页我就放弃了，原因是觉得枯燥坐不下去，其...

                        ?(展开)",卡斯特罗,推荐,
30,青年马克思,"这篇影评可能有剧透

                        本片是一部中规中矩的传记片，没有跌宕起伏的情节，也没有动人心魄的画面，甚至有些冗长乏闷。但它呈现了青年时代马克思的奋斗历程，让我们这些从小只闻其声，不识其人的社会主义接班人，终于直观地了解到马克思富有人情味的一面。 影片一开始即表现了19世纪初底层的欧洲人民在...

                        ?(展开)",新鲜空气迷,较差,
31,青年马克思,"电影《青年马克思》临近结尾，《共产党宣言》的作业提交日期眼看着要到了，写不出稿的马克思有点崩溃。 马恩两人在海边互诉衷肠，马克思跟基友半吐槽半吵架，抱怨自己写了太多的宣传小册子，却没有写出一本学理化体系化的“大书”。 著书立说，传之后人，扬名立万，在肮脏的旧...

                        ?(展开)",风华江水,推荐,2
32,青年马克思,"这篇影评可能有剧透

                        提及“青年”、“历史改编”、“共产主义”和“影视剧”，脑海里浮现的是《恰同学少年》和《我们的法兰西岁月》。二十啷当岁的年轻人，青涩腼腆，涉世未深，投身于社会的洪流中，为了理想想要做出些事业。 而《青年马克思》，同样是二十啷当岁的年轻人，换了个国籍，就把青年给...

                        ?(展开)",小葡萄慢慢长高,还行,
